year,date,city,venue,teams,match_number,stage,toss_winner,toss_decision,first_inning_runs,first_inning_overs,first_inning_wickets,second_inning_runs,second_inning_overs,second_inning_wickets,winner,won_by_runs,won_by_wickets,player_of_match,super_over
2020,2020-10-14,,Dubai International Cricket Stadium,"{""Delhi Capitals"",""Rajasthan Royals""}",30,,Delhi Capitals,bat,161,20,7,148,20,8,Delhi Capitals,13,,"{""A Nortje""}",f
2020,2020-10-15,,Sharjah Cricket Stadium,"{""Royal Challengers Bangalore"",""Punjab Kings""}",31,,Royal Challengers Bangalore,bat,171,20,6,177,20,2,Punjab Kings,,8,"{""KL Rahul""}",f
2020,2020-10-16,Abu Dhabi,Sheikh Zayed Stadium,"{""Kolkata Knight Riders"",""Mumbai Indians""}",32,,Kolkata Knight Riders,bat,148,20,5,149,16.5,2,Mumbai Indians,,8,"{""Q de Kock""}",f
2020,2020-10-17,,Dubai International Cricket Stadium,"{""Rajasthan Royals"",""Royal Challengers Bangalore""}",33,,Rajasthan Royals,bat,177,20,6,179,19.4,3,Royal Challengers Bangalore,,7,"{""AB de Villiers""}",f
2020,2020-10-17,,Sharjah Cricket Stadium,"{""Chennai Super Kings"",""Delhi Capitals""}",34,,Chennai Super Kings,bat,179,20,4,185,20,5,Delhi Capitals,,5,"{""S Dhawan""}",f
2020,2020-10-18,,Dubai International Cricket Stadium,"{""Mumbai Indians"",""Punjab Kings""}",36,,Mumbai Indians,bat,176,20,6,176,20,6,Punjab Kings,,,"{""KL Rahul""}",t
2020,2020-10-18,Abu Dhabi,Sheikh Zayed Stadium,"{""Kolkata Knight Riders"",""Sunrisers Hyderabad""}",35,,Sunrisers Hyderabad,field,163,20,5,163,20,6,Kolkata Knight Riders,,,"{""LH Ferguson""}",t
2020,2020-10-19,Abu Dhabi,Sheikh Zayed Stadium,"{""Chennai Super Kings"",""Rajasthan Royals""}",37,,Chennai Super Kings,bat,125,20,5,126,17.3,3,Rajasthan Royals,,7,"{""JC Buttler""}",f
2020,2020-10-20,,Dubai International Cricket Stadium,"{""Delhi Capitals"",""Punjab Kings""}",38,,Delhi Capitals,bat,164,20,5,167,19,5,Punjab Kings,,5,"{""S Dhawan""}",f
2020,2020-10-21,Abu Dhabi,Sheikh Zayed Stadium,"{""Kolkata Knight Riders"",""Royal Challengers Bangalore""}",39,,Kolkata Knight Riders,bat,84,20,8,85,13.3,2,Royal Challengers Bangalore,,8,"{""Mohammed Siraj""}",f
2020,2020-10-22,,Dubai International Cricket Stadium,"{""Rajasthan Royals"",""Sunrisers Hyderabad""}",40,,Sunrisers Hyderabad,field,154,20,6,156,18.1,2,Sunrisers Hyderabad,,8,"{""MK Pandey""}",f
2020,2020-10-23,,Sharjah Cricket Stadium,"{""Chennai Super Kings"",""Mumbai Indians""}",41,,Mumbai Indians,field,114,20,9,116,12.2,0,Mumbai Indians,,10,"{""TA Boult""}",f
2020,2020-10-24,,Dubai International Cricket Stadium,"{""Punjab Kings"",""Sunrisers Hyderabad""}",43,,Sunrisers Hyderabad,field,126,20,7,114,19.5,10,Punjab Kings,12,,"{""CJ Jordan""}",f
2020,2020-10-24,Abu Dhabi,Sheikh Zayed Stadium,"{""Kolkata Knight Riders"",""Delhi Capitals""}",42,,Delhi Capitals,field,194,20,6,135,20,9,Kolkata Knight Riders,59,,"{""CV Varun""}",f
2020,2020-10-25,Abu Dhabi,Sheikh Zayed Stadium,"{""Mumbai Indians"",""Rajasthan Royals""}",45,,Mumbai Indians,bat,195,20,5,196,18.2,2,Rajasthan Royals,,8,"{""BA Stokes""}",f
2020,2020-10-25,,Dubai International Cricket Stadium,"{""Royal Challengers Bangalore"",""Chennai Super Kings""}",44,,Royal Challengers Bangalore,bat,145,20,6,150,18.4,2,Chennai Super Kings,,8,"{""RD Gaikwad""}",f
2020,2020-10-26,,Sharjah Cricket Stadium,"{""Kolkata Knight Riders"",""Punjab Kings""}",46,,Punjab Kings,field,149,20,9,150,18.5,2,Punjab Kings,,8,"{""CH Gayle""}",f
2020,2020-10-27,,Dubai International Cricket Stadium,"{""Sunrisers Hyderabad"",""Delhi Capitals""}",47,,Delhi Capitals,field,219,20,2,131,19,10,Sunrisers Hyderabad,88,,"{""WP Saha""}",f
2020,2020-10-28,Abu Dhabi,Sheikh Zayed Stadium,"{""Royal Challengers Bangalore"",""Mumbai Indians""}",48,,Mumbai Indians,field,164,20,6,166,19.1,5,Mumbai Indians,,5,"{""SA Yadav""}",f
2020,2020-10-29,,Dubai International Cricket Stadium,"{""Kolkata Knight Riders"",""Chennai Super Kings""}",49,,Chennai Super Kings,field,172,20,5,178,20,4,Chennai Super Kings,,6,"{""RD Gaikwad""}",f
2020,2020-10-30,Abu Dhabi,Sheikh Zayed Stadium,"{""Punjab Kings"",""Rajasthan Royals""}",50,,Rajasthan Royals,field,185,20,4,186,17.5,3,Rajasthan Royals,,7,"{""BA Stokes""}",f
2020,2020-10-31,,Dubai International Cricket Stadium,"{""Delhi Capitals"",""Mumbai Indians""}",51,,Mumbai Indians,field,110,20,9,111,14.2,1,Mumbai Indians,,9,"{""Ishan Kishan""}",f
2020,2020-10-31,,Sharjah Cricket Stadium,"{""Royal Challengers Bangalore"",""Sunrisers Hyderabad""}",52,,Sunrisers Hyderabad,field,120,20,7,121,14.1,5,Sunrisers Hyderabad,,5,"{""Sandeep Sharma""}",f
2020,2020-11-01,,Dubai International Cricket Stadium,"{""Kolkata Knight Riders"",""Rajasthan Royals""}",54,,Rajasthan Royals,field,191,20,7,131,20,9,Kolkata Knight Riders,60,,"{""PJ Cummins""}",f
2020,2020-11-01,Abu Dhabi,Sheikh Zayed Stadium,"{""Punjab Kings"",""Chennai Super Kings""}",53,,Chennai Super Kings,field,153,20,6,154,18.5,1,Chennai Super Kings,,9,"{""RD Gaikwad""}",f
2020,2020-11-02,Abu Dhabi,Sheikh Zayed Stadium,"{""Royal Challengers Bangalore"",""Delhi Capitals""}",55,,Delhi Capitals,field,152,20,7,154,19,4,Delhi Capitals,,6,"{""A Nortje""}",f
2020,2020-11-03,,Sharjah Cricket Stadium,"{""Mumbai Indians"",""Sunrisers Hyderabad""}",56,,Sunrisers Hyderabad,field,149,20,8,151,17.1,0,Sunrisers Hyderabad,,10,"{""S Nadeem""}",f
2020,2020-11-05,,Dubai International Cricket Stadium,"{""Mumbai Indians"",""Delhi Capitals""}",,Qualifier 1,Delhi Capitals,field,200,20,5,143,20,8,Mumbai Indians,57,,"{""JJ Bumrah""}",f
2020,2020-11-06,Abu Dhabi,Sheikh Zayed Stadium,"{""Royal Challengers Bangalore"",""Sunrisers Hyderabad""}",,Eliminator,Sunrisers Hyderabad,field,131,20,7,132,19.4,4,Sunrisers Hyderabad,,6,"{""KS Williamson""}",f
2020,2020-11-08,Abu Dhabi,Sheikh Zayed Stadium,"{""Delhi Capitals"",""Sunrisers Hyderabad""}",,Qualifier 2,Delhi Capitals,bat,189,20,3,172,20,8,Delhi Capitals,17,,"{""MP Stoinis""}",f
2020,2020-11-10,,Dubai International Cricket Stadium,"{""Delhi Capitals"",""Mumbai Indians""}",,Final,Delhi Capitals,bat,156,20,7,157,18.4,5,Mumbai Indians,,5,"{""TA Boult""}",f
2021,2021-04-09,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai","{""Mumbai Indians"",""Royal Challengers Bangalore""}",1,,Royal Challengers Bangalore,field,159,20,9,160,20,8,Royal Challengers Bangalore,,2,"{""HV Patel""}",f
2021,2021-04-10,Mumbai,"Wankhede Stadium, Mumbai","{""Chennai Super Kings"",""Delhi Capitals""}",2,,Delhi Capitals,field,188,20,7,190,18.4,3,Delhi Capitals,,7,"{""S Dhawan""}",f
2021,2021-04-11,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai","{""Kolkata Knight Riders"",""Sunrisers Hyderabad""}",3,,Sunrisers Hyderabad,field,187,20,6,177,20,5,Kolkata Knight Riders,10,,"{""N Rana""}",f
2021,2021-04-12,Mumbai,"Wankhede Stadium, Mumbai","{""Punjab Kings"",""Rajasthan Royals""}",4,,Rajasthan Royals,field,221,20,6,217,20,7,Punjab Kings,4,,"{""SV Samson""}",f
2021,2021-04-13,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai","{""Mumbai Indians"",""Kolkata Knight Riders""}",5,,Kolkata Knight Riders,field,152,20,10,142,20,7,Mumbai Indians,10,,"{""RD Chahar""}",f
2021,2021-04-14,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai","{""Royal Challengers Bangalore"",""Sunrisers Hyderabad""}",6,,Sunrisers Hyderabad,field,149,20,8,143,20,9,Royal Challengers Bangalore,6,,"{""GJ Maxwell""}",f
2021,2021-04-15,Mumbai,"Wankhede Stadium, Mumbai","{""Delhi Capitals"",""Rajasthan Royals""}",7,,Rajasthan Royals,field,147,20,8,150,19.4,7,Rajasthan Royals,,3,"{""JD Unadkat""}",f
2021,2021-04-16,Mumbai,"Wankhede Stadium, Mumbai","{""Punjab Kings"",""Chennai Super Kings""}",8,,Chennai Super Kings,field,106,20,8,107,15.4,4,Chennai Super Kings,,6,"{""DL Chahar""}",f
2021,2021-04-17,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai","{""Mumbai Indians"",""Sunrisers Hyderabad""}",9,,Mumbai Indians,bat,150,20,5,137,19.4,10,Mumbai Indians,13,,"{""KA Pollard""}",f
2021,2021-04-18,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai","{""Royal Challengers Bangalore"",""Kolkata Knight Riders""}",10,,Royal Challengers Bangalore,bat,204,20,4,166,20,8,Royal Challengers Bangalore,38,,"{""AB de Villiers""}",f
2021,2021-04-18,Mumbai,"Wankhede Stadium, Mumbai","{""Punjab Kings"",""Delhi Capitals""}",11,,Delhi Capitals,field,195,20,4,198,18.3,4,Delhi Capitals,,6,"{""S Dhawan""}",f
2021,2021-04-19,Mumbai,"Wankhede Stadium, Mumbai","{""Chennai Super Kings"",""Rajasthan Royals""}",12,,Rajasthan Royals,field,188,20,9,143,20,9,Chennai Super Kings,45,,"{""MM Ali""}",f
2021,2021-04-20,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai","{""Mumbai Indians"",""Delhi Capitals""}",13,,Mumbai Indians,bat,137,20,9,138,19.2,4,Delhi Capitals,,6,"{""A Mishra""}",f
2021,2021-04-21,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai","{""Punjab Kings"",""Sunrisers Hyderabad""}",14,,Punjab Kings,bat,120,19.4,10,121,18.5,1,Sunrisers Hyderabad,,9,"{""JM Bairstow""}",f
2021,2021-04-21,Mumbai,"Wankhede Stadium, Mumbai","{""Chennai Super Kings"",""Kolkata Knight Riders""}",15,,Kolkata Knight Riders,field,220,20,3,202,19.1,10,Chennai Super Kings,18,,"{""F du Plessis""}",f
2021,2021-04-22,Mumbai,"Wankhede Stadium, Mumbai","{""Rajasthan Royals"",""Royal Challengers Bangalore""}",16,,Royal Challengers Bangalore,field,177,20,9,181,16.4,0,Royal Challengers Bangalore,,10,"{""D Padikkal""}",f
2021,2021-04-23,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai","{""Mumbai Indians"",""Punjab Kings""}",17,,Punjab Kings,field,131,20,6,132,17.4,1,Punjab Kings,,9,"{""KL Rahul""}",f
2021,2021-04-24,Mumbai,"Wankhede Stadium, Mumbai","{""Kolkata Knight Riders"",""Rajasthan Royals""}",18,,Rajasthan Royals,field,133,20,9,134,18.5,4,Rajasthan Royals,,6,"{""CH Morris""}",f
2021,2021-04-25,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai","{""Delhi Capitals"",""Sunrisers Hyderabad""}",20,,Delhi Capitals,bat,159,20,4,159,20,7,Delhi Capitals,,,"{""PP Shaw""}",t
2021,2021-04-25,Mumbai,"Wankhede Stadium, Mumbai","{""Chennai Super Kings"",""Royal Challengers Bangalore""}",19,,Chennai Super Kings,bat,191,20,4,122,20,9,Chennai Super Kings,69,,"{""RA Jadeja""}",f
2021,2021-04-26,Ahmedabad,"Narendra Modi Stadium, Ahmedabad","{""Punjab Kings"",""Kolkata Knight Riders""}",21,,Kolkata Knight Riders,field,123,20,9,126,16.4,5,Kolkata Knight Riders,,5,"{""EJG Morgan""}",f
2021,2021-04-27,Ahmedabad,"Narendra Modi Stadium, Ahmedabad","{""Royal Challengers Bangalore"",""Delhi Capitals""}",22,,Delhi Capitals,field,171,20,5,170,20,4,Royal Challengers Bangalore,1,,"{""AB de Villiers""}",f
2021,2021-04-28,Delhi,"Arun Jaitley Stadium, Delhi","{""Sunrisers Hyderabad"",""Chennai Super Kings""}",23,,Sunrisers Hyderabad,bat,171,20,3,173,18.3,3,Chennai Super Kings,,7,"{""RD Gaikwad""}",f
2021,2021-04-29,Ahmedabad,"Narendra Modi Stadium, Ahmedabad","{""Kolkata Knight Riders"",""Delhi Capitals""}",25,,Delhi Capitals,field,154,20,6,156,16.3,3,Delhi Capitals,,7,"{""PP Shaw""}",f
2021,2021-04-29,Delhi,"Arun Jaitley Stadium, Delhi","{""Rajasthan Royals"",""Mumbai Indians""}",24,,Mumbai Indians,field,171,20,4,172,18.3,3,Mumbai Indians,,7,"{""Q de Kock""}",f
2021,2021-04-30,Ahmedabad,"Narendra Modi Stadium, Ahmedabad","{""Punjab Kings"",""Royal Challengers Bangalore""}",26,,Royal Challengers Bangalore,field,179,20,5,145,20,8,Punjab Kings,34,,"{""Harpreet Brar""}",f
2021,2021-05-01,Delhi,"Arun Jaitley Stadium, Delhi","{""Chennai Super Kings"",""Mumbai Indians""}",27,,Mumbai Indians,field,218,20,4,219,20,6,Mumbai Indians,,4,"{""KA Pollard""}",f
2021,2021-05-02,Ahmedabad,"Narendra Modi Stadium, Ahmedabad","{""Punjab Kings"",""Delhi Capitals""}",29,,Delhi Capitals,field,166,20,6,167,18,3,Delhi Capitals,,7,"{""MA Agarwal""}",f
