player,year,team
A Kumble,2009,Royal Challengers Bangalore
KP Appanna,2009,Royal Challengers Bangalore
MK Pandey,2009,Royal Challengers Bangalore
DW Steyn,2009,Royal Challengers Bangalore
R Bishnoi,2009,Royal Challengers Bangalore
R Vinay Kumar,2009,Royal Challengers Bangalore
B Akhil,2009,Royal Challengers Bangalore
Pankaj Singh,2009,Royal Challengers Bangalore
RV Uthappa,2009,Royal Challengers Bangalore
KV Sharma,2009,Royal Challengers Bangalore
JD Ryder,2009,Royal Challengers Bangalore
LRPL Taylor,2009,Royal Challengers Bangalore
MV Boucher,2010,Royal Challengers Bangalore
KP Pietersen,2010,Royal Challengers Bangalore
EJG Morgan,2010,Royal Challengers Bangalore
KP Appanna,2010,Royal Challengers Bangalore
ND Doshi,2010,Royal Challengers Bangalore
RE van der Merwe,2010,Royal Challengers Bangalore
DW Steyn,2010,Royal Challengers Bangalore
LRPL Taylor,2010,Royal Challengers Bangalore
S Sriram,2010,Royal Challengers Bangalore
B Akhil,2010,Royal Challengers Bangalore
RV Uthappa,2010,Royal Challengers Bangalore
A Kumble,2010,Royal Challengers Bangalore
P Kumar,2010,Royal Challengers Bangalore
Pankaj Singh,2010,Royal Challengers Bangalore
R Dravid,2010,Royal Challengers Bangalore
A Mithun,2010,Royal Challengers Bangalore
MK Pandey,2010,Royal Challengers Bangalore
R Vinay Kumar,2010,Royal Challengers Bangalore
SP Goswami,2010,Royal Challengers Bangalore
JH Kallis,2010,Royal Challengers Bangalore
CL White,2010,Royal Challengers Bangalore
V Kohli,2010,Royal Challengers Bangalore
SE Marsh,2010,Punjab Kings
YA Abdulla,2010,Punjab Kings
DPMD Jayawardene,2010,Punjab Kings
SJ Srivastava,2010,Punjab Kings
J Theron,2010,Punjab Kings
VRV Singh,2010,Punjab Kings
IK Pathan,2010,Punjab Kings
MS Bisla,2010,Punjab Kings
B Lee,2010,Punjab Kings
K Goel,2010,Punjab Kings
RS Bopara,2010,Punjab Kings
KC Sangakkara,2010,Punjab Kings
L Ablish,2010,Punjab Kings
RS Sodhi,2010,Punjab Kings
PP Chawla,2010,Punjab Kings
Bipul Sharma,2010,Punjab Kings
S Sreesanth,2010,Punjab Kings
S Sohal,2010,Punjab Kings
VS Malik,2010,Punjab Kings
Yuvraj Singh,2010,Punjab Kings
RR Powar,2010,Punjab Kings
AB Barath,2010,Punjab Kings
M Kaif,2010,Punjab Kings
C Madan,2010,Mumbai Indians
ST Jayasuriya,2010,Mumbai Indians
SR Tendulkar,2010,Mumbai Indians
Harbhajan Singh,2010,Mumbai Indians
R McLaren,2010,Mumbai Indians
AG Murtaza,2010,Mumbai Indians
Z Khan,2010,Mumbai Indians
CRD Fernando,2010,Mumbai Indians
DS Kulkarni,2010,Mumbai Indians
AN Ahmed,2010,Mumbai Indians
DJ Bravo,2010,Mumbai Indians
SS Tiwary,2010,Mumbai Indians
SL Malinga,2010,Mumbai Indians
AP Tare,2010,Mumbai Indians
AM Nayar,2010,Mumbai Indians
S Dhawan,2010,Mumbai Indians
R Sathish,2010,Mumbai Indians
STR Binny,2010,Mumbai Indians
JP Duminy,2010,Mumbai Indians
